Date,AAPL,AMZN,COST,GOOGL,HD,JPM,LLY,META,MSFT,NVDA,TSLA,UNH,V
2023-01-03,123.2112045288086,85.81999969482422,435.0462951660156,88.45169067382812,292.7112121582031,125.49220275878906,356.42291259765625,123.87468719482422,233.9856414794922,14.300683975219727,108.0999984741211,490.9798583984375,202.75515747070312
2023-01-04,124.48204040527344,85.13999938964844,438.1943664550781,87.41948699951172,296.250732421875,126.66246032714844,354.57733154296875,126.4864501953125,223.75033569335938,14.734247207641602,113.63999938964844,477.5940246582031,207.85853576660156
2023-01-05,123.16195678710938,83.12000274658203,432.08062744140625,85.55357360839844,292.3035583496094,126.63436889648438,350.49542236328125,126.05944061279297,217.118896484375,14.250736236572266,110.33999633789062,463.8294677734375,206.3920440673828
2023-01-06,127.69357299804688,86.08000183105469,463.44598388671875,86.68502044677734,294.21221923828125,129.0576171875,354.42108154296875,129.1180877685547,219.67771911621094,14.844139099121094,113.05999755859375,463.8673400878906,212.88365173339844
2023-01-09,128.21568298339844,87.36000061035156,459.4917297363281,87.35993194580078,294.4717102050781,128.52427673339844,341.6188049316406,128.57186889648438,221.8165740966797,15.612370491027832,119.7699966430664,463.9241027832031,213.7146759033203
2023-01-10,128.7870635986328,89.87000274658203,462.03515625,87.7569351196289,297.08465576171875,129.67510986328125,344.47027587890625,132.0674591064453,223.5061798095703,15.893092155456543,118.8499984741211,460.0805969238281,216.14903259277344
2023-01-11,131.50604248046875,95.08999633789062,464.8280944824219,90.83368682861328,304.8399963378906,130.63877868652344,351.950439453125,131.96815490722656,230.26461791992188,15.984996795654297,123.22000122070312,467.0859069824219,217.13644409179688
2023-01-12,131.42724609375,95.2699966430664,463.0237121582031,90.44660949707031,305.6461181640625,130.50779724121094,350.69073486328125,135.7616729736328,232.9406280517578,16.49448585510254,123.55999755859375,469.23492431640625,218.62246704101562
2023-01-13,132.75718688964844,98.12000274658203,465.7302551269531,91.42919158935547,306.8876953125,133.80111694335938,353.13201904296875,136.02980041503906,233.64381408691406,16.882102966308594,122.4000015258789,463.46026611328125,218.07498168945312
2023-01-17,133.9196319580078,96.05000305175781,467.18914794921875,90.60541534423828,303.47796630859375,131.7334442138672,349.3431091308594,134.4210205078125,234.73768615722656,17.684297561645508,131.49000549316406,459.2096862792969,218.0163116455078
